AnimalID,Sex,Group,DOB,Age,Rank,Social,Survival,Time,Age_entry.days.,Age_event.days.,Group_size,Social_integration,Social_ord,Rank_ord
3L1,1,F,10/02/2010,6,4,7,1,365,2545,2910,114,1.525542997,2,1
6I9,1,F,9/27/2009,7,6,6,1,365,2915,3280,114,1.075183229,2,1
96B,1,F,01/06/1994,23,5,7,1,365,8658,9023,114,1.525542997,2,1
9D1,1,F,10/15/2006,10,2,7,1,365,3993,4358,114,1.525542997,2,1
42T,1,F,12/28/2002,14,23,8,1,365,5380,5745,111,3.435216345,2,3
3L3,1,F,09/12/2010,6,15,7,1,365,2565,2930,114,1.525542997,2,2
8C0,1,F,10/12/2006,10,9,6,1,365,3996,4361,114,1.075183229,2,2
9 E5,1,F,10/16/2007,9,10,9,1,365,3627,3992,114,2.426262532,2,2
04N,2,F,3/25/2000,17,11,7,1,365,6388,6753,114,1.525542997,2,1
43J,2,F,01/12/1998,19,4,6,1,365,7191,7556,114,1.075183229,2,1
5C0,2,F,11/07/2005,11,3,8,1,365,4335,4700,114,1.975902764,2,1
6C0,2,F,2/26/2006,11,8,6,1,365,4224,4589,114,1.075183229,2,1
98T,2,F,01/12/2004,13,9,6,1,365,5000,5365,114,1.075183229,2,1
0A9,2,F,12/29/2004,12,53,8,1,365,4648,5013,114,1.975902764,2,3
29Z,2,F,12/15/2003,13,62,9,1,365,5028,5393,114,2.426262532,2,3
2A2,2,F,11/28/2004,12,69,7,1,365,4679,5044,114,1.525542997,2,3
2A5,2,F,01/01/2005,12,71,6,1,365,4645,5010,114,1.075183229,2,3
2H3,2,F,12/13/2008,8,41,6,1,365,3203,3568,114,1.075183229,2,3
3C3,2,F,10/30/2005,11,44,6,2,266,4343,4609,114,1.075183229,2,3
61J,2,F,3/13/1999,18,43,8,2,33,6766,6799,114,1.975902764,2,3
59A,2,F,11/29/1992,24,20,8,1,365,9061,9426,114,1.975902764,2,2
8B0,2,F,10/24/2005,11,25,9,2,219,4349,4568,114,2.426262532,2,2
6C2,2,F,10/06/2005,11,NA,8,1,365,4367,4732,114,1.975902764,2,
27N,1,KK,1/29/2000,17,4,7,1,365,6444,6809,106,1.098490516,2,1
1J8,1,KK,10/28/2009,7,NA,10,1,365,2884,3249,106,2.186762516,2,
24V,2,KK,12/09/2003,13,3,7,1,365,5034,5399,106,1.098490516,2,1
2J7,2,KK,09/07/2009,8,5,10,1,365,2935,3300,106,2.186762516,2,1
5H4,2,KK,09/10/2008,9,1,11,1,365,3297,3662,106,2.54951985,2,1
76J,2,KK,1/19/1999,18,9,10,1,365,6819,7184,106,2.186762516,2,1
8L3,2,KK,9/27/2010,6,2,12,1,365,2550,2915,106,2.912277183,2,1
6D4,2,KK,10/14/2006,10,36,7,1,365,3994,4359,106,1.098490516,2,3
83Z,2,KK,12/16/2004,12,25,8,1,365,4661,5026,106,1.46124785,2,3
6D9,2,KK,11/02/2006,10,23,8,1,365,3975,4340,106,1.46124785,2,2
7J8,2,KK,09/06/2009,8,NA,8,1,365,2936,3301,106,1.46124785,2,
0J4,1,V,9/16/2009,8,31,5,1,365,2926,3291,111,1.586920594,2,3
12Z,1,V,12/03/2003,13,NA,6,1,365,5040,5405,111,2.203019178,2,
7G2,1,V,11/07/2008,8,NA,7,1,365,3239,3604,111,2.819117762,2,
0F0,2,V,11/28/2007,9,4,5,2,135,3584,3719,111,1.586920594,2,1
85T,2,V,10/31/2003,13,47,5,1,365,5073,5438,111,1.586920594,2,3
0I5,2,V,10/08/2008,8,NA,6,1,365,3269,3634,111,2.203019178,2,
63V,2,V,11/01/2003,13,NA,5,1,365,5072,5437,111,1.586920594,2,
78T,2,V,12/10/2002,14,NA,5,1,365,5398,5763,111,1.586920594,2,
