AnimalID,Sex,Group,DOB,Age,mother_id,mother_rk,Rank_ord,mother_social,Survival,DOD,Age_Cat,Time,Age_entry,Age_event,Group_size,no_females,Maternal_social,Social_ord
I1843F,2,F,08/01/2017,0,43F,1,1,3,1,11/13/2017,2,104,50,154,114,75,-0.518585115,2
2Y7,1,F,8/19/2017,0,0G5,2,1,4,0,,2,365,32,397,114,75,-0.021166739,2
6X3,2,F,9/29/2016,0,43J,4,1,6,0,,2,365,356,721,114,75,0.973670011,2
4X9,1,F,6/16/2017,0,4C1,5,1,3,0,,2,365,96,461,114,75,-0.518585115,2
I186C0,2,F,7/16/2017,0,6C0,8,1,6,1,02/02/2018,2,201,66,267,114,75,0.973670011,2
3Y3,2,F,08/04/2017,0,3 e2,12,1,5,0,,2,365,47,412,114,75,0.476251636,2
I188J6,2,F,7/30/2017,0,8J6,13,1,3,1,5/18/2018,2,292,52,344,114,75,-0.518585115,2
I180A4,1,F,07/08/2017,0,0A4,14,1,4,1,2/14/2018,2,221,74,295,114,75,-0.021166739,2
3Y1,1,F,6/17/2017,0,5K3,15,2,3,0,,2,365,95,460,114,75,-0.518585115,2
I1864P,2,F,09/06/2017,0,64P,18,2,3,1,8/23/2018,2,351,14,365,114,75,-0.518585115,2
5X0,1,F,7/15/2017,0,2J8,19,2,3,0,,2,365,67,432,114,75,-0.518585115,2
8Y2,2,F,7/18/2017,0,8J8,21,2,5,0,,2,365,64,429,114,75,0.476251636,2
5Y4,2,F,7/19/2017,0,5K7,23,2,5,0,,2,365,63,428,114,75,0.476251636,2
AA6,2,F,6/23/2017,0,2A8,26,2,3,0,,2,365,89,454,114,75,-0.518585115,2
8X0,1,F,07/06/2017,0,9H7,33,2,5,0,,2,365,76,441,114,75,0.476251636,2
0Y9,1,F,08/07/2017,0,40L,34,2,3,0,,2,365,44,409,114,75,-0.518585115,2
7Y7,2,F,07/09/2017,0,1L4,35,2,3,0,11/08/2018,2,365,73,438,114,75,-0.518585115,2
2Y0,2,F,7/17/2017,0,55V,37,3,3,0,,2,365,65,430,114,75,-0.518585115,2
5Y8,2,F,7/31/2017,0,1A3,40,3,5,0,,2,365,51,416,114,75,0.476251636,2
6X4,1,F,7/23/2017,0,2H3,41,3,6,0,,2,365,59,424,114,75,0.973670011,2
7Y9,2,F,7/31/2017,0,3C3,44,3,6,0,,2,365,51,416,114,75,0.973670011,2
I1863V,1,F,6/24/2017,0,63V,47,3,5,1,04/10/2018,2,260,88,348,114,75,0.476251636,2
1Y8,1,F,7/17/2017,0,4C2,50,3,5,0,,2,365,65,430,114,75,0.476251636,2
AA3,2,F,7/13/2017,0,36Z,51,3,3,0,,2,365,69,434,114,75,-0.518585115,2
7Y5,1,F,7/17/2017,0,9I6,56,3,4,0,,2,365,65,430,114,75,-0.021166739,2
I1868V,1,F,7/29/2017,0,68V,58,3,5,1,1/23/2018,2,178,53,231,114,75,0.476251636,2
I189A4,1,F,07/04/2017,0,9A4,60,3,3,1,5/17/2018,2,317,78,395,114,75,-0.518585115,2
I189G3,1,F,7/22/2017,0,9G3,63,3,5,1,12/11/2017,2,142,60,202,114,75,0.476251636,2
AC1,2,F,6/21/2017,0,5G9,65,3,3,0,,2,365,91,456,114,75,-0.518585115,2
2Y1,1,F,8/13/2017,0,1H6,68,3,3,0,,2,365,38,403,114,75,-0.518585115,2
7Y2,2,F,7/13/2017,0,52P,70,3,3,0,,2,365,69,434,114,75,-0.518585115,2
3Z0,1,KK,07/08/2017,0,2C3,7,1,2,0,,2,365,74,439,106,69,-0.809515369,2
6Z4,2,KK,7/13/2017,0,4F1,8,1,5,0,,2,365,69,434,106,69,0.315284933,2
AG5,1,KK,07/11/2017,0,5Q7,9,1,2,0,,2,365,71,436,106,69,-0.809515369,2
AD4,1,KK,07/09/2017,0,4D8,10,2,2,0,,2,365,73,438,106,69,-0.809515369,2
AH4,1,KK,07/10/2017,0,0M6,11,2,2,0,,2,365,72,437,106,69,-0.809515369,2
8Z7,1,KK,7/23/2017,0,7J7,12,2,4,0,,2,365,59,424,106,69,-0.059648501,2
I180K8-1,2,KK,07/01/2017,0,0K8,13,2,4,1,10/03/2017,2,94,81,175,106,69,-0.059648501,2
I180K8-2,2,KK,07/01/2017,0,0K8,13,2,4,1,10/03/2017,2,94,81,175,106,69,-0.059648501,2
