,AnimalID,Sex,Group,DOB,Age,Rank,Social,Survival,Time,Age_entry.days.,Age_event.days.,Group_size,Social_integration,Social_ord,Rank_ord
12,3L1,1,F,10/02/2010,6,4,7,1,365,2545,2910,114,1.525542997,2,1
16,6I9,1,F,9/27/2009,7,6,6,1,365,2915,3280,114,1.075183229,2,1
110,96B,1,F,01/06/1994,23,5,7,1,365,8658,9023,114,1.525542997,2,1
23,9D1,1,F,10/15/2006,10,2,7,1,365,3993,4358,114,1.525542997,2,1
200,42T,1,F,12/28/2002,14,23,8,1,365,5380,5745,111,3.435216345,2,3
13,3L3,1,F,09/12/2010,6,15,7,1,365,2565,2930,114,1.525542997,2,2
109,8C0,1,F,10/12/2006,10,9,6,1,365,3996,4361,114,1.075183229,2,2
22,9 E5,1,F,10/16/2007,9,10,9,1,365,3627,3992,114,2.426262532,2,2
113,04N,2,F,3/25/2000,17,11,7,1,365,6388,6753,114,1.525542997,2,1
180,43J,2,F,01/12/1998,19,4,6,1,365,7191,7556,114,1.075183229,2,1
120,5C0,2,F,11/07/2005,11,3,8,1,365,4335,4700,114,1.975902764,2,1
121,6C0,2,F,2/26/2006,11,8,6,1,365,4224,4589,114,1.075183229,2,1
125,98T,2,F,01/12/2004,13,9,6,1,365,5000,5365,114,1.075183229,2,1
178,0A9,2,F,12/29/2004,12,53,8,1,365,4648,5013,114,1.975902764,2,3
112,29Z,2,F,12/15/2003,13,62,9,1,365,5028,5393,114,2.426262532,2,3
114,2A2,2,F,11/28/2004,12,69,7,1,365,4679,5044,114,1.525542997,2,3
182,2A5,2,F,01/01/2005,12,71,6,1,365,4645,5010,114,1.075183229,2,3
186,2H3,2,F,12/13/2008,8,41,6,1,365,3203,3568,114,1.075183229,2,3
194,3C3,2,F,10/30/2005,11,44,6,2,266,4343,4609,114,1.075183229,2,3
183,61J,2,F,3/13/1999,18,43,8,2,33,6766,6799,114,1.975902764,2,3
210,59A,2,F,11/29/1992,24,20,8,1,365,9061,9426,114,1.975902764,2,2
190,8B0,2,F,10/24/2005,11,25,9,2,219,4349,4568,114,2.426262532,2,2
201,6C2,2,F,10/06/2005,11,NA,8,1,365,4367,4732,114,1.975902764,2,
27,27N,1,KK,1/29/2000,17,4,7,1,365,6444,6809,106,1.098490516,2,1
38,1J8,1,KK,10/28/2009,7,NA,10,1,365,2884,3249,106,2.186762516,2,
40,24V,2,KK,12/09/2003,13,3,7,1,365,5034,5399,106,1.098490516,2,1
80,2J7,2,KK,09/07/2009,8,5,10,1,365,2935,3300,106,2.186762516,2,1
45,5H4,2,KK,09/10/2008,9,1,11,1,365,3297,3662,106,2.54951985,2,1
48,76J,2,KK,1/19/1999,18,9,10,1,365,6819,7184,106,2.186762516,2,1
82,8L3,2,KK,9/27/2010,6,2,12,1,365,2550,2915,106,2.912277183,2,1
72,6D4,2,KK,10/14/2006,10,36,7,1,365,3994,4359,106,1.098490516,2,3
76,83Z,2,KK,12/16/2004,12,25,8,1,365,4661,5026,106,1.46124785,2,3
63,6D9,2,KK,11/02/2006,10,23,8,1,365,3975,4340,106,1.46124785,2,2
83,7J8,2,KK,09/06/2009,8,NA,8,1,365,2936,3301,106,1.46124785,2,
134,0J4,1,V,9/16/2009,8,31,5,1,365,2926,3291,111,1.586920594,2,3
176,12Z,1,V,12/03/2003,13,NA,6,1,365,5040,5405,111,2.203019178,2,
175,7G2,1,V,11/07/2008,8,NA,7,1,365,3239,3604,111,2.819117762,2,
221,0F0,2,V,11/28/2007,9,4,5,2,135,3584,3719,111,1.586920594,2,1
254,85T,2,V,10/31/2003,13,47,5,1,365,5073,5438,111,1.586920594,2,3
260,0I5,2,V,10/08/2008,8,NA,6,1,365,3269,3634,111,2.203019178,2,
267,63V,2,V,11/01/2003,13,NA,5,1,365,5072,5437,111,1.586920594,2,
268,78T,2,V,12/10/2002,14,NA,5,1,365,5398,5763,111,1.586920594,2,
3,17K,1,F,11/20/1998,18,31,0,1,365,6881,7246,114,-1.626975377,1,3
8,2I0,1,F,9/29/2009,7,28,0,1,365,2913,3278,114,-1.626975377,1,3
19,84J,1,F,01/04/1999,18,32,1,2,13,6834,6847,114,-1.176615609,1,3
111,9F5,1,F,9/19/2007,10,20,1,1,365,3654,4019,114,-1.176615609,1,3
24,9H2,1,F,9/24/2008,8,22,0,1,365,3283,3648,114,-1.626975377,1,3
25,9I0,1,F,12/08/2009,7,16,1,1,365,2843,3208,114,-1.176615609,1,2
102,19T,1,F,11/04/2002,14,NA,1,1,365,5434,5799,114,-1.176615609,1,
103,1C2,1,F,10/25/2005,11,NA,1,1,365,4348,4713,114,-1.176615609,1,
107,7 E1,1,F,10/02/2007,9,NA,1,1,365,3641,4006,114,-1.176615609,1,
123,82A,2,F,1/29/1993,24,7,1,2,29,9000,9029,114,-1.176615609,1,1
129,1K5,2,F,10/24/2009,7,72,1,1,365,2888,3253,114,-1.176615609,1,3
185,7B7,2,F,11/20/2005,11,48,1,1,365,4322,4687,114,-1.176615609,1,3
275,0C6,2,F,12/20/2005,11,NA,1,1,365,4292,4657,114,-1.176615609,1,
198,1 E0,2,F,11/06/2006,10,NA,1,1,365,3971,4336,114,-1.176615609,1,
276,34Z,2,F,2/27/2004,13,NA,1,1,365,4954,5319,114,-1.176615609,1,
213,8H1,2,F,09/30/2008,8,NA,1,1,365,3277,3642,114,-1.176615609,1,
270,8J0,2,F,9/23/2009,7,NA,1,1,365,2919,3284,114,-1.176615609,1,
272,90P,2,F,11/12/2001,15,NA,1,1,365,5791,6156,114,-1.176615609,1,
47,2M4,1,KK,10/04/2011,5,16,0,1,365,2178,2543,106,-1.440810817,1,3
84,3M3,1,KK,9/26/2011,5,17,1,1,365,2186,2551,106,-1.078053483,1,3
85,5J3,1,KK,10/16/2009,7,21,1,1,365,2896,3261,106,-1.078053483,1,3
51,5K0,1,KK,10/26/2010,6,22,1,1,365,2521,2886,106,-1.078053483,1,3
59,6L3,1,KK,9/27/2010,6,18,0,1,365,2550,2915,106,-1.440810817,1,3
65,6L4,1,KK,9/17/2010,7,19,1,1,365,2560,2925,106,-1.078053483,1,3
31,64S,1,KK,10/26/2002,14,11,1,2,55,5443,5498,106,-1.078053483,1,2
78,97Z,1,KK,11/01/2004,12,10,1,2,125,4706,4831,106,-1.078053483,1,2
36,0G1,1,KK,11/17/2007,9,NA,1,1,365,3595,3960,106,-1.078053483,1,
37,0L5,1,KK,10/13/2010,6,NA,1,1,365,2534,2899,106,-1.078053483,1,
71,5M5,2,KK,09/01/2011,6,45,0,1,365,2211,2576,106,-1.440810817,1,3
50,9L9,2,KK,10/27/2010,6,46,1,1,365,2520,2885,106,-1.078053483,1,3
56,3F7,2,KK,10/01/2007,9,19,1,1,365,3642,4007,106,-1.078053483,1,2
66,6K6,2,KK,09/06/2010,7,17,1,1,365,2571,2936,106,-1.078053483,1,2
94,18I,1,V,2/13/1998,19,8,0,2,125,7159,7284,111,-1.493572324,1,1
174,0C7,1,V,10/25/2005,11,42,0,1,365,4348,4713,111,-1.493572324,1,3
135,1D5,1,V,10/03/2006,10,54,0,2,106,4005,4111,111,-1.493572324,1,3
137,2D0,1,V,10/23/2006,10,32,0,1,365,3985,4350,111,-1.493572324,1,3
139,2F8,1,V,9/28/2007,9,40,1,2,215,3645,3860,114,-1.176615609,1,3
172,5J1,1,V,9/24/2009,7,39,0,2,339,2918,3257,111,-1.493572324,1,3
150,5K8,1,V,10/25/2010,6,34,0,1,365,2522,2887,111,-1.493572324,1,3
154,60E,1,V,02/09/1996,21,47,0,2,48,7894,7942,111,-1.493572324,1,3
160,73S,1,V,11/23/2002,14,51,0,1,365,5415,5780,111,-1.493572324,1,3
168,9 E3,1,V,11/27/2007,9,46,0,1,365,3585,3950,111,-1.493572324,1,3
162,7L8,1,V,11/02/2010,6,21,0,1,365,2514,2879,111,-1.493572324,1,2
249,5C6,2,V,11/21/2005,11,6,0,2,223,4321,4544,111,-1.493572324,1,1
